text,label,Disease
I have been having migraine and headaches. I can't sleep. My whole body is shaking and shivering. I feel dizzy sometimes.,308,Drug Reaction
"I have asthma and I get wheezing and breathing problems. I also have fevers, headaches, and I feel tired all the time.",35,Allergy
"Signs and symptom of primary ovarian insufficiency are similar to those of menopause or estrogen deficiency. They include: Irregular or skipped periods, which might be present for year or develop after a pregnancy or after stopping birth control pill Difficulty getting pregnant Hot flash Night sweat Vaginal dryness Dry eye Irritability or difficulty concentrating Decreased sexual desire When to see a health care provider If you've missed your period for three month or more, see your health care provider to determine the cause. You can miss your period for a number of reason — including pregnancy, stress, or a change in diet or exercise habit — but it's best to get evaluated whenever your menstrual cycle changes. Even if you don't mind not having periods, it's advisable to see your provider to find out what's causing the change. Low estrogen level can lead to bone loss and an increased risk of heart disease.",798,Premature Ovarian Failure
"cough,high fever,breathlessness,family history,mucoid sputum",149,Bronchial Asthma
"chill,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",596,Malaria
"Posterior cortical atrophy symptom vary among people. Symptoms also can vary over time. They tend to gradually get worse. Common symptom include having trouble with: Reading, spelling or math. Driving. Getting dressed. Telling the difference between object that are moving and those that are still. Judging how far away object are. Using everyday object or tools. Identifying left from right. Other common symptom include: Anxiety. Confusion. Changes in behavior and personality. Memory problem may occur later in the disease. Causes The most common cause of posterior cortical atrophy is a form of Alzheimer's disease that's not typical. It affect the back of the brain. Other le common cause include corticobasal degeneration, Lewy body dementia and Creutzfeldt-Jakob disease. Researchers are looking at potential gene variation that may be related to the condition. Risk factor Further study is needed to determine whether the risk factor for Alzheimer's disease may play a role in posterior cortical atrophy. By Mayo Clinic Staff By Mayo Clinic Staff Posterior cortical atrophy care at Mayo Clinic",785,Posterior Cortical Atrophy
"I've been having back pain, a cough, and numbness in my arm and legs. My neck hurt too, and I've been feeling dizzy and off balance.",186,Cervical Spondylosis
"yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",466,Hepatitis C
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",700,Osteoarthristis
"An unusual sensation (aura) may precede a temporal lobe seizure, acting a a warning. Not everyone who ha temporal lobe seizure ha auras, and not everyone who ha aura remembers them. The aura is actually the first part of a focal seizure before consciousness is impaired. Examples of aura include: A sudden sense of unprovoked fear or joy A deja vu experience — a feeling that what's happening ha happened before A sudden or strange odor or taste A rising sensation in the abdomen, similar to being on a roller coaster Sometimes temporal lobe seizure impair your ability to respond to others. This type of temporal lobe seizure usually last 30 second to two minutes. Characteristic sign and symptom include: Loss of awareness of surroundings Staring Lip smacking Repeated swallowing or chewing Unusual finger movements, such a picking motion After a temporal lobe seizure, you may have: A period of confusion and difficulty speaking Inability to recall what occurred during the seizure Unawareness of having had a seizure Extreme sleepiness In extreme cases, what start a a temporal lobe seizure evolves into a generalized tonic-clonic (grand mal) seizure — featuring convulsion and loss of consciousness.",971,Temporal Lobe Seizure
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",33,Alcoholic Hepatitis
"vomiting,fatigue,anxiety,sweating,headache,nausea,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",464,Hepatitis A
"skin rash,chill,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",275,Dengue
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",207,Chronic Cholestasis
